text,label
🔥 تنبيه من المرور: لديك غرامة مالية لم تسدد. تجنب المضاعفات: https://customs-pay.net/categories/app قبل منتصف الليل,spam
عبدالله، ✨ أي شخص حسابه انستقرام مسروق أو محظور، أرجعه له في ١٠ دقايق. شغلي مضمون ومجرب. تواصل خاص.,spam
خالد، 🚀 ⏰ بمناسبة شهر رمضان: عمرة مجانية لـ 127 شخص. سارع بالتسجيل: https://alrajhi-support.info/tags/tag قبل منتصف الليل,spam
أهلاً بك، تم شحن طلبك رقم 366816958. رقم الشحنة: SA743839071423,ham
"لطيفة، ⏰ تم اكتشاف عملية تحويل مشبوهة من حسابك بمبلغ 50,000 ريال. تأكيد الهوية فوراً: https://alrajhi-support.org/wp-content قبل 24 ساعة",spam
محمد، ‼️ عروض اليوم الوطني: آيفون 15 برو بسعر 799 ريال فقط! العرض ينتهي اليوم: https://alrajhi-support.com/wp-content/blog/wp-content قبل منتصف الليل,spam
عبدالله، ⏰ التأمينات الاجتماعية: يوجد مشكلة في وثيقتك الرسميه. التصحيح خلال 48 ساعة ضروري: https://alrajhi-support.live/wp-content قبل 24 ساعة,spam
شكراً لشرائك من جرير! رقم طلبك: 14491626. سيتم التوصيل خلال 48 ساعة,ham
أهلاً وسهلاً، نود دعوتك لحفل زفاف محمد يوم 2025-06-09 في الطائف,ham
سعود، 💯 ❗ عرض خاص: شحن 100 ريال رصيد مقابل 50 ريال فقط! ارسل 'نعم' للرقم 0559217874 فوراً,spam
💯 وزارة الصحة: يوجد مشكلة في وثيقتك الرسمية. التصحيح خلال 48 ساعة ضروري: https://stc-offer.com/wp-content/posts/search,spam
تحية طيبة، تذكير: لديك موعد مع د. خالد يوم 2025-06-07 الساعة 10 صباحاً,ham
❌ ⏰ بمناسبة شهر رمضان: عمرة مجانية لـ 140 شخص. سارع بالتسجيل: https://moi-alert.com/explore/posts/posts قبل 24 ساعة,spam
🎁 ❗ وزارة العمل: يوجد مشكلة في وثيقتك الرسمية. التصحيح خلال 48 ساعة ضروري: https://stc-offer.live/tags/app خلال ساعة,spam
فهد، ‼️ إشعار من البلاد: حسابك بحاجة لتحديث بيانات الهوية. تجنب الإيقاف: https://bit.ly/cum قبل 24 ساعة,spam
سعود، 🔥 فقدت محفظتي في إلطائف وأحتاج 500 ريال لإكمال سفرتي. الله يجزاكم خير: 052967108 قبل منتصف الليل,spam
عبدالله، 🚀 🚨 شحنتك رقم 402504152 معلقة لعدم دفع رسوم جمركية بقيمة 29.50 ريال. الدفع: https://stc-offer.org/list قبل منتصف الليل,spam
أخت نورة، وزارة العمل: تم استلام طلب إصدار رخصة عمل لـ محمد. سيتم الرد خلال 3 أيام عمل,ham
⏰ عاجل: إخطار من النيابة العامة برقم 73677697. التفاصيل: https://stc-offer.xyz/category اليوم فقط,spam
السلام عليكم، أبو أحمد، تأكيد طلبك رقم 926266595. إجمالي المبلغ 499 ريال شامل الضريبة,ham
‼️ تنبيه من وزارة الصحة: لديك غرامة مالية لم تسدد. تجنب المضاعفات: https://sa-update.com/list/tags قبل 24 ساعة,spam
"فهد، 🎁 عميلنا العزيز: يوجد محاولة سحب بقيمة 25,000 ريال من حسابك. أوقف العملية الآن: https://stc-offer.live/tag/app",spam
السلام عليكم، جامعة الملك عبدالعزيز: تم جدولة الامتحان النهائي يوم 2025-06-09,ham
خالد، 🚨 عروض اليوم الوطني: QLED TV بسعر 499 ريال فقط! العرض ينتهي اليوم: https://moi-alert.com/search/main/list اليوم فقط,spam
لطيفة، ❗ تنبيه عاجل من ساب: تم تعليق بطاقتك بسبب نشاط مشبوه. التحديث المطلوب خلال 24 ساعة: https://ksa-verify.org/blog خلال ساعة,spam
السلام عليكم، أم فهد، لا تنسى دفع فاتورة زين قبل 2025-06-15 لتجنب الإيقاف,ham
السلام عليكم، تذكير: سداد قرضك الشهري بقيمة 1200 ريال مستحق يوم 2025-06-12,ham
تحية طيبة، أم فهد، لا تنسى دفع فاتورة موبايلي قبل 2025-06-13 لتجنب الإيقاف,ham
تحية طيبة، إشعار من البنك الأهلي: تحويل وارد من محمد بمبلغ 500 ريال,ham
"💯 🚨 عميلنا العزيز: يوجد محاولة سحب بقيمة 25,000 ريال من حسابك. أوقف العملية الآن: https://stc-offer.sa/search/posts/wp-content خلال ساعة",spam
⚠️ ‼️ جمعية خيرية: كفالة يتيم بـ 500 ريال شهرياً. سجل الآن: https://sa-update.org/list فوراً,spam
⏰ أي شخص حسابه انستقرام مسروق أو محظور، أرجعه له في ١٠ دقايق. شغلي مضمون ومجرب. تواصل خاص. خلال ساعة,spam
"⭐ وظيفة شاغرة: مدخل بيانات براتب 8,000 ريال. إرسال السيرة على الواتساب: 055237642",spam
تحية طيبة، لا تنسى دفع فاتورة STC قبل 2025-06-12 لتجنب الإيقاف,ham
عروض اليوم الوطني: آيفون 15 برو بسعر 499 ريال فقط! العرض ينتهي اليوم: https://customs-pay.xyz/main,spam
مرحباً، وزارة العمل: تم استلام طلب إصدار رخصة عمل لـ لطيفة. سيتم الرد خلال 3 أيام عمل,ham
"✅ تم اكتشاف عملية تحويل مشبوهة من حسابك بمبلغ 25,000 ريال. تأكيد الهوية فوراً: https://sa-update.info/main/category",spam
